序号,井号,层位,取样日期,分析日期,取样条件,,,,,物理性质,,,,,阳离子(mg/L),,,,,,,,,阴离子(mg/L),,,,,,,,"总矿化度
(mg/L)",微量元素(mg/L),,,,Na+            —          Cl-,Na+-Cl          —         2SO42-,SO42-×102—                   Cl-,Cl--Na+   — 2Mg2+,Cl--Na+                         —             Mg2+,水型,相对密度,pH,,,,,,,,,,,,,,,
790,SY101,MK组,2018-01-07 00:00:00,2018-01-22 00:00:00,分离器,4596.00-4645.00,0.08,38.45,16.57,白色,硫化氢,微咸,半透明,无,0,0,218.3713,128.8532,0,0,0,0,347.2245,657.1907,20.3467,0,72,0,2.7613,0,752.2987,1099.5232,/,0,0,0,0,-43.6727270789041,,1.7240469698392,,氯化钙,0.9995,5.639,,,,,,,,,,,,,,,
791,SY101,MK组,2018-01-14 00:00:00,2018-01-29 00:00:00,分离器,4596.00-4645.00,8%,38.36,16.58,无,硫化氢,咸味,透明,无,10.5952,103.7758,300.9804,215.2984,0,0,0,0,630.6498,904.8386,14.1018,0,133,0,3.7672,0,1055.7076,1686.3574,/,0,0,0,0.187679924378001,-70.4752522431554,,1.15401218968944,,氯化钙,1,5.275,,,,,,,,,,,,,,,
792,SY101,MK组,2018-01-21 00:00:00,2018-02-02 00:00:00,分离器,4596.00-4645.00,8/100,38.24,16.64,无, 硫化氢,咸味,透明,无,16.2454,129.1967,355.6153,272.1646,0.1267,0,0,0,773.3487,1172.451,9.7927,0,128,0,3.3031,2.2448,1315.7916,2089.1403,/,0,0,0,0.182694012213104,-132.309130785301,,1.19014708841747,,氯化钙,1.0001,5.247,,,,,,,,,,,,,,,
793,SY101,MK组,2018-01-28 00:00:00,2018-02-11 00:00:00,分离器,4596.00-4645.00,8/100,38.16,16.64,无色,硫化氢,咸味,透明,无,19.159,136.9811,319.738,260.2801,1.4685,0.9215,0,1,739.5482,1340.9127,14.0147,0,128,0,4.0526,46.367,1533,2272.5482,/,0,0,0,0.157674209514162,-108.970685006096,,1.46687305248743,,氯化钙,1.0006,5.49,,,,,,,,,,,,,,,
794,SY101,MK组,2018-02-04 00:00:00,2018-02-13 00:00:00,分离器,4596.00-4645.00,8/100,38.05,16.68,无,硫化氢,咸味,透明,无,28.7159,167.7594,508.9309,383.9568,1.7072,1.9379,0,0,1093.0081,1653.256,25.3326,0,106,0,3.4935,0,1788.0821,2881.0902,/,0,0,0,0.156620019498808,-74.4211735255423,,1.22753511622476,,氯化钙,1.0002,5.42,,,,,,,,,,,,,,,
795,SY101,MK组,2018-02-11 00:00:00,2018-03-01 00:00:00,分离器,4596.00-4645.00,8/100,37.94,16.7,无,硫化氢,咸味,透明,无,22.4165,126.2173,337.8227,270.0719,4.0029,3.7386,0,0,764.2699,1175.3803,21.4003,0,155,0,6.1236,3.6547,1361.5589,2125.8288,/,0,0,0,0.183105350256564,-60.6648994156184,,1.20176057465073,,氯化钙,1.0005,5.514,,,,,,,,,,,,,,,
796,SY101,MK组,2018-02-18 00:00:00,2018-03-02 00:00:00,分离器,4596.00-4645.00,8/100,37.85,16.73,无, 硫化氢,咸味,透明,无,19.402,83.5721,409.6699,312.0322,0,0,0,0,824.6762,1274.8491,43.3817,0,139,0,2.6839,5.2276,1465.1423,2289.8185,/,0,0,0,0.11503519470423,-35.1634192395225,,1.22218869112162,,氯化钙,1.0006,5.566,,,,,,,,,,,,,,,
797,SY101,MK组,2018-02-24 00:00:00,2018-03-06 00:00:00,分离器,4596.00-4645.00,8/100,37.76,16.74,无色, 硫化氢,咸味,透明,无,25.8059,118.3479,334.4685,260.158,0,2.1506,0,0,740.9309,1110.6406,20.9103,0,132,0,1.6324,0,1265.1833,2006.1142,/,0,0,0,0.185620259845535,-58.4861625309718,,1.17521199076271,,氯化钙,1.0005,5.513,,,,,,,,,,,,,,,
798,SY101,MK组,2018-03-09 00:00:00,2018-03-20 00:00:00,分离器,4596.00-4645.00,8/100,37.57,16.8,无,硫化氢,咸味,不透明,无,19.6637,110.3341,340.6366,260.6326,-0.2051,1.6394,0,0,732.7013,1488.8807,32.8968,0,141,0,6.4469,0,1669.2244,2401.9257,/,0,0,0,0.126401862658954,-53.4602308162903,,1.68692492911222,,氯化钙,1.0006,5.406,,,,,,,,,,,,,,,
799,SY101,MK组,2018-03-18 00:00:00,2018-03-27 00:00:00,分离器,4596.00-4645.00,8/100,36.81,17.49,白色, 硫化氢,咸味,半透明,无,20.9682,216.1494,597.1393,470.9881,0,0.8767,0,0,1306.1217,2711.966,26.6622,0,150,0,5.6866,5.2107,2899.5255,4205.6472,/,0,0,0,0.130056327572521,-119.644372566749,,1.69323927199498,,氯化钙,1.0009,5.46,,,,,,,,,,,,,,,
800,SY101,MK组,2018-03-25 00:00:00,2018年3月28日至2018年4月2日,分离器,4596.00-4645.00,8/100,36.62,17.48,无色, 硫化氢,咸味,透明,无,41.8407,256.765,592.1463,475.1716,16.602,4.0401,0,0,1386.5657,2383.7931,35.7339,0,128,0,6.1445,6.2399,2559.9114,3946.4771,/,14,27,94,0.182229305486617,-73.7619803645121,,1.38676387127694,,氯化钙,1.001,5.677,,,,,,,,,,,,,,,
801,SY101,MK组,2018-03-30 00:00:00,2018年4月8日至2018年4月13日,分离器,4596.00-4645.00,8/100,36.61,17.37,无色,硫化氢,咸味,透明,无,24.8237,153.837,392.3735,315.1559,6.6403,0,0,0,892.8304,1008.2676,0,0,110,0,1.2846,1.0216,1120.5738,2013.4042,/,0,0,0,0.235497069644399,0,,0.826765635977399,,氯化镁,1,5.467,,,,,,,,,,,,,,,
802,SY101,MK组,2018-04-08 00:00:00,2018年4月11日至2018年4月18日,分离器,4596.00-4645.00,8/100,36.55,17.29,无, 硫化氢,咸味,透明,无,18.2511,145.6117,366.5501,295.199,3.6276,0,0,0,829.6421,1885.815,24.272,0,141,0,5.0052,4.3783,2060.4705,2890.1126,/,0,0,0,0.127987991530183,-91.6070446165528,,1.88304007375785,,氯化钙,0.9999,5.503,,,,,,,,,,,,,,,
803,SY101,MK组,2018-04-14 00:00:00,2018年4月20日至2018年4月27日,分离器,4596.00-4645.00,8/100,36.44,17.28,无色,硫化氢,咸味,透明,无,31.2291,127.6725,322.4597,257.6706,8.7913,9.6288,0,0,757.452,1225.0926,31.6394,0,123,0,0,3.2922,1383.0242,2140.4762,/,0,0,0,0.160852925126533,-43.9330795552722,,1.34863686163757,,氯化钙,1,5.217,,,,,,,,,,,,,,,
804,SY101,MK组,2018-04-21 00:00:00,2018年5月2日至2018年5月9日,分离器,4596.00-4645.00,0.08,36.37,17.26,无,硫化氢,咸味,透明,无,18,141,0,276,4,1,0,0,440,909,0,0,105,0,0,0,1014,1455,/,0,0,0,0.26,0,,0.83,,氯化镁,0.999,5.471,,,,,,,,,,,,,,,
805,SY101,MK组,2018-04-29 00:00:00,2018年5月4日至2018年5月10日,分离器,4596.00-4645.00,0.08,36.3,17.27,无, 硫化氢,咸味,透明,无,18,138,0,260,4,1,0,0,421,1392,20,0,123,0,7,4,1546,1967,/,0,0,0,0.16,-77.34,,1.51,,氯化钙,0.9999,5.3,,,,,,,,,,,,,,,
806,SY101,MK组,2018-05-06 00:00:00,2018年5月9日2018年5月16日,分离器,4596.00-4645.00,0.08,36.19,17.3,无,硫化氢,咸味,透明,无,22,149,400,316,2,3,0,0,892,1367,77,0,105,0,3,3,1555,2447,/,0,0,0,0.17,-20.06,,1.21,,氯化钙,1.0003,5.441,,,,,,,,,,,,,,,
807,SY101,MK组,2018-05-13 00:00:00,2018年5月21日至2018年5月25日,分离器,4596.00-4645.00,0.08,36.12,17.3,灰白色,硫化氢,咸味,不透明,无,19,122,310,235,1,2,0,0,688,1089,12,0,105,0,2,1,1209,1897,/,0,2,0,0.17,-102.07,,1.3,,氯化钙,1,5.538,,,,,,,,,,,,,,,
808,SY101,MK组,2018-05-19 00:00:00,2018年5月24日至2018年5月30日,分离器,4596.00-4645.00,0.08,36.06,17.25,无, 硫化氢,咸味,透明,无,17,121,283,230,2,0,0,0,654,1420,7,0,132,0,8,4,1571,2224,/,0,0,0,0.14,-252.9,,1.79,,氯化钙,0.9999,5.442,,,,,,,,,,,,,,,
809,SY101,MK组,2018-05-25 00:00:00,2018年5月31日至2018年6月6日,分离器,4596.00-4645.00,0.08,36,17.21,无色,硫化氢,无味,   透明,无,18,102,276,210,0,1,0,0,607,1039,3,0,132,0,1,0,1175,1781,/,0,0,0,0.15,-458.66,,1.42,,氯化钙,1.0001,7.172,,,,,,,,,,,,,,,
810,SY101,MK组,2018-05-29 00:00:00,2018年6月7日至2018年6月13日,分离器,4596.00-4645.00,8/100,35.99,17.22,无,硫化氢,咸味,透明,无,12.4582,60.8554,154.4828,124.4799,2.248,0,0,0,354.5809,1280.003,15.1257,0,105,0,0,3.3815,1403.5102,1758.0911,/,0,6,0,0.0733818490710738,-106.025222487362,,3.22081257250588,,氯化钙,1.0001,5.871,,,,,,,,,,,,,,,
811,SY101,MK组,2018-06-10 00:00:00,2018年6月13日至2018年6月22日,分离器,4596.00-4645.00,0.08,35.65,17.46,无, 硫化氢,咸味,透明,无,47,271,1036,864,0,0,0,0,2218,4274,28,0,173,0,7,3,4485,6703,/,0,0,0,0.1,-187.17,,1.51,,氯化钙,1.003,5.916,,,,,,,,,,,,,,,
812,SY101,MK组,2018-06-24 00:00:00,2018年6月27日至2018年7月3日,分离器,4596.00-4645.00,0.08,40.12,15.13,乳白色,硫化氢,无,不透明,无,1,2,15,4,1,0,0,0,23,9,6,0,114,0,3,0,132,155,/,0,0,0,0.41,-1.15,,0.48,,氯化镁,0.9989,5.921,,,,,,,,,,,,,,,
813,SY101,MK组,2018-06-28 00:00:00,2018年7月4日至2018年7月12日,分离器,4597.00-4645.00,0.55,37.71,32.71,   白色, 硫化氢,无,    不透明,无,5,9,14,3,1,0,0,1,33,39,6,0,105,0,1,0,151,184,/,0,0,0,0.35,-5.65,,2.9,,氯化钙,0.9989,6.08,,,,,,,,,,,,,,,
814,SY101,MK组,2018-07-07 00:00:00,2018年7月16日至2018年7月24日,分离器,4596.00-4645.00,0.08,38.29,16.77,灰白色,硫化氢,无,半透明,无,3,1,4,2,0,0,0,0,9,22,4,0,96,0,1,1,124,133,/,0,0,0,0.07,-6.45,,3.48,,氯化钙,0.9989,6.171,,,,,,,,,,,,,,,
815,SY101,MK组,2018-07-14 00:00:00,2018年7月20日至2018年7月28日,分离器,4596.00-4645.00,0.08,37.83,16.94,灰白色,硫化氢,无,半透明,无,5,67,32,7,1,0,0,3,115,183,3,0,96,0,3,0,285,400,/,/,2,0,0.57,-34.93,,3.66,,氯化钙,0.9992,6.236,,,,,,,,,,,,,,,
816,SY101,MK组,2018-07-22 00:00:00,2018年7月27日至2018年8月2日,分离器,4596.00-4645.00,0.08,37.44,16.99,白色,硫化氢,无味,不透明,无,3,21,21,11,0,0,0,0,56,66,5,0,91,0,2,0,164,220,/,0,0,0,0.5,-9.1,,1.03,,氯化钙,0.999,6.561,,,,,,,,,,,,,,,
817,SY101,MK组,2018-07-29 00:00:00,2018年8月2日至2018年8月8日,分离器,4596.00-4645.00,0.08,37.24,17.04,无,硫化氢,无,透明,无,6,16,50,35,1,0,0,0,109,194,5,0,123,0,1,0,323,432,/,0,2,0,0.13,-44.07,,1.63,,氯化钙,0.9993,6.123,,,,,,,,,,,,,,,
818,SY101,MK组,2018-08-04 00:00:00,2018年8月8日至2018年8月15日,分离器,4596.00-4645.00,0.222222222222222,37,17.1,无, 硫化氢,咸味,透明,无,19,123,260,189,2,0,0,0,593,1096,13,0,105,0,3,0,1217,1810,/,0,0,0,0.17,-97.38,,1.62,,氯化钙,1,6.023,,,,,,,,,,,,,,,
819,SY101,MK组,2018-08-18 00:00:00,2018年8月23日至2018年8月28日,分离器,4596.00-4645.00,0.08,36.79,16.91,灰白色,硫化氢,微咸,不透明,无,15,150,140,104,4,4,0,12,429,712,11,0,123,0,2,0,847,1276,/,0,0,0,0.33,-61.85,,1.56,,氯化钙,1,6.203,,,,,,,,,,,,,,,
820,SY101,MK组,2018-08-24 00:00:00,2018年9月3日至2018年9月10日,分离器,4596.00-4645.00,0.07,37.67,15,灰色,无,无,不透明,无,2,5,12,6,1,0,0,0,26,46,7,0,85,0,2,0,140,166,/,0,0,0,0.18,-7.58,,2.11,,氯化钙,0.9993,6.442,,,,,,,,,,,,,,,
821,SY101,MK组,2018-08-29 00:00:00,2018年9月4日至2018年9月10日,分离器,4596.00-4645.00,0.07,38.02,14.63,灰色,硫化氢,无,不透明,无,3,3,7,2,1,0,0,0,16,29,5,0,112,0,1,0,147,163,/,0,0,0,0.17,-6.86,,3.81,,氯化钙,0.9992,6.43,,,,,,,,,,,,,,,
822,SY101,MK组,2018-09-09 00:00:00,2018年9月19日至2018年9月25日,分离器,4596.00-4645.00,0.07,38.07,14.89,无,   无,无,透明,无,3,8,9,3,1,0,0,0,24,32,8,0,94,0,1,1,136,160,/,0,0,0,0.37,-3.62,,2.21,,氯化钙,0.9993,5.964,,,,,,,,,,,,,,,
823,SY101,MK组,2018-09-14 00:00:00,2018年9月25日至2018年9月29日,分离器,4596.00-4645.00,0.07,38.03,15.06,灰白色,硫化氢,无,半透明,无,3,1,24,3,1,0,0,6,39,19,29,0,121,0,1,0,171,209,/,0,0,0,0.11,-0.79,,2.14,,氯化钙,0.9993,6.077,,,,,,,,,,,,,,,
824,SY101,MK组,2018-09-23 00:00:00,2018年10月9日至2018年10月16日,分离器,4596.00-4645.00,0.02,37.82,15.36,灰色,  无,无,半透明,无,3,43,23,6,1,0,0,2,78,100,9,0,94,0,1,1,205,283,/,0,0,0,0.66,-4.92,,1.99,,氯化钙,0.9994,5.91,,,,,,,,,,,,,,,
825,SY101,MK组,2018-09-29 00:00:00,2018年10月10日至2018年10月17日,分离器,4596.00-4645.00,0.07,37.68,15.53,灰白色,   无,无,半透明,无,3,8,11,6,0,0,0,0,29,40,11,0,94,0,1,0,146,174,/,0,0,0,0.31,-3.4,,1.65,,氯化钙,0.9994,6.56,,,,,,,,,,,,,,,
826,SY101,MK组,2018-10-07 00:00:00,2018年10月10日至2018年10月17日,分离器,4596.00-4645.00,0.07,37.47,15.09,灰白色,无,无,不透明,无,3,3,15,8,1,0,0,0,30,40,8,0,94,0,1,0,143,173,/,0,0,0,0.11,-6.34,,1.53,,氯化钙,0.9995,5.979,,,,,,,,,,,,,,,
827,SY101,MK组,2018-10-13 00:00:00,2018年10月21日至2018年10月28日,分离器,4596.00-4645.00,0.07,37.3,15.7,无,  无,无,透明,无,4,3,21,11,1,0,0,0,39,44,6,0,148,0,0,0,198,237,/,0,0,0,0.1,-9.41,,1.25,,氯化钙,0.9996,5.83,,,,,,,,,,,,,,,
828,SY101,MK组,2018-10-20 00:00:00,2018年10月24日至2018年10月30日,分离器,4596.00-4645.00,0.07,37.14,15.92,   灰白色,   无,无,    不透明,无,6,6,37,22,0,0,0,0,72,78,5,0,202,0,1,0,286,358,/,0,0,0,0.13,-19.43,,1.03,,氯化钙,0.9998,5.953,,,,,,,,,,,,,,,
829,SY101,MK组,2018-10-27 00:00:00,2018年11月2日至2018年11月7日,分离器,4596.00-4645.00,0.07,36.97,15.99,灰白色,硫化氢,微咸味,半透明,无,15,99,253,140,3,0,0,0,509,912,82,0,121,0,4,6,1125,1635,/,0,0,0,0.17,-12.46,,1.84,,氯化钙,1.0007,5.915,,,,,,,,,,,,,,,
830,SY101,MK组,2018-11-05 00:00:00,2018年11月13日至2018年11月21日,分离器,4596.00-4645.00,0.08,35.59,17.36,灰色,硫化氢,咸味,半透明,少量黑色沉淀,32,254,732,487,3,0,0,0,1509,2789,22,0,125,0,0,1,2937,4446,/,0,0,0,0.14,-144.57,,1.66,,氯化钙,1.0027,5.752,,,,,,,,,,,,,,,
831,SY101,MK组,2018-11-11 00:00:00,2018年11月13日至2018年11月21日,分离器,4596.00-4645.00,0.08,35.65,17.05,无,无,无,透明,少量黑色沉淀,7,21,74,39,0,0,0,0,141,126,22,0,85,0,0,0,233,374,/,0,0,0,0.26,-5.91,,0.82,,氯化镁,1,5.842,,,,,,,,,,,,,,,
832,SY101,MK组,2018-11-14 00:00:00,2018年11月15日至2018年11月21日,分离器,4596.00-4645.00,0.08,35.69,16.9,灰黑色,硫化氢,微咸,不透明,无,16,83,244,143,0,0,0,0,485,770,7,0,148,0,0,0,925,1410,/,0,0,0,0.17,-120.84,,1.52,,氯化钙,1.0008,5.995,,,,,,,,,,,,,,,
833,SY101,MK组,2018-11-18 00:00:00,2018年11月20日至2018年11月26日,分离器,4596.00-4645.00,0.08,35.62,16.84,灰黑色,硫化氢,咸味,半透明,少量黑色沉淀,17,152,334,213,3,0,0,0,720,1054,61,0,130,0,3,6,1255,1975,/,0,0,0,0.22,-18.03,,1.3,,氯化钙,1.0013,5.828,,,,,,,,,,,,,,,
834,SY101,MK组,2018-11-21 00:00:00,2018年11月22日至2018年11月29日,分离器,4596.00-4645.00,0.08,35.81,16.82,浅灰色,硫化氢,咸味,半透明,无,18,132,354,223,0,0,0,0,727,1079,11,0,157,0,4,7,1257,1985,/,0,0,0,0.19,-110.55,,1.32,,氯化钙,1.0016,5.972,,,,,,,,,,,,,,,
835,SY101,MK组,2018-11-25 00:00:00,2018年11月27日至2018年12月2日,分离器,4596.00-4645.00,0.07,35.96,16.07,    无, 硫化氢,咸味,     透明,无,23,174,426,268,3,0,0,0,894,1336,21,0,116,0,0,6,1479,2372,/,0,0,0,0.2,-68.92,,1.34,,氯化钙,1.0018,5.78,,,,,,,,,,,,,,,
836,SY101,MK组,2018-11-28 00:00:00,2018年11月29日至2018年12月4日,分离器,4596.00-4645.00,0.07,36.91,14.38,  灰白色,   无,无,    半透明,无,6,6,46,11,0,0,0,0,69,44,36,0,116,0,0,11,207,276,/,0,0,0,0.21,-1.28,,1.04,,氯化钙,1.0003,5.955,,,,,,,,,,,,,,,
837,SY101,MK组,2018-12-02 00:00:00,2018年12月5日至2018年12月10日,分离器,4596.00-4645.00,0.07,37.17,14.36,灰色,无,无,不透明,无,4,4,26,6,0,0,0,0,40,144,9,0,184,0,9,0,346,387,/,0,0,0,0.05,-19.68,,7.37,,氯化钙,1.0003,5.938,,,,,,,,,,,,,,,
838,SY101,MK组,2018-12-05 00:00:00,2018年12月6日至2018年12月10日,分离器,4596.00-4645.00,0.07,37.17,14.53,灰色,硫化氢,无,不透明,无,15,59,147,34,3,0,0,0,257,199,10,0,193,0,6,6,414,671,/,0,0,0,0.46,-14.42,,1.08,,氯化钙,1.0007,5.66,,,,,,,,,,,,,,,
839,SY101,MK组,2018-12-09 00:00:00,2018年12月11日至2018年12月18日,分离器,4596.00-4645.00,0.07,37.13,14.76,浅灰色,无,无,不透明,无,0,29,17,1,0,3,0,0,44,148,22,0,202,0,9,0,380,424,/,0,0,0,0.31,-6.42,,34.57,,氯化钙,1.0006,5.9,,,,,,,,,,,,,,,
840,SY101,MK组,2018-12-12 00:00:00,2018年12月13日至2018年12月18日,分离器,4596.00-4645.00,0.07,37.11,14.83,浅灰色,无,无,不透明,无,7,12,10,4,0,0,0,0,33,29,4,0,148,0,6,0,187,220,/,0,0,0,0.63,-4.13,,0.94,,氯化镁,0.9982,5.867,,,,,,,,,,,,,,,
841,SY101,MK组,2018-12-16 00:00:00,2018年12月18日至2018年12月24日,分离器,4596.00-4645.00,0.07,37.06,19.94,  灰白色,   无,无,    半透明,无,3,12,8,2,0,0,0,0,25,26,4,0,179,0,6,1,216,241,/,0,0,0,0.72,-2.55,,1.36,,氯化钙,0.998,5.833,,,,,,,,,,,,,,,
842,SY101,MK组,2018-12-19 00:00:00,2018年12月20日至2018年12月25日,分离器,4596.00-4645.00,0.07,37.01,14.97,  灰白色,   无,无,    半透明,无,4,12,11,5,0,0,0,0,33,40,3,0,170,0,6,1,220,253,/,0,0,0,0.47,-8.17,,1.36,,氯化钙,0.9983,6.039,,,,,,,,,,,,,,,
843,SY101,MK组,2018-12-23 00:00:00,2018年12月25日至2019年1月2日,分离器,4596.00-4645.00,0.07,36.88,15.22,无,无,无,透明,无,3,5,18,10,3,0,0,0,40,78,6,0,170,0,6,2,262,302,/,0,0,0,0.11,-17.03,,2.4,,氯化钙,0.9983,5.997,,,,,,,,,,,,,,,
844,SY101,MK组,2018-12-27 00:00:00,2018年12月27日至2018年12月29日,分离器,4596.00-4645.00,0.07,36.77,15.31,浅黄色,无,无,透明,无,4,2,11,5,0,0,0,0,23,56,5,0,148,0,5,1,216,239,/,0,0,0,0.06,-14.2,,3.4,,氯化钙,0.9983,5.823,,,,,,,,,,,,,,,
845,SY101,MK组,2018-12-30 00:00:00,2019-01-02 00:00:00,分离器,4596.00-4645.00,0.07,36.7,15.32,灰白色,无,无,半透明,无,3,13,13,7,1,0,0,0,37,45,2,0,155,0,0,0,202,239,/,0,0,0,0.46,-18.28,,1.23,,氯化钙,0.9983,5.958,,,,,,,,,,,,,,,
846,SY101,MK组,2019-01-02 00:00:00,2019-01-03 00:00:00,分离器,4596.00-4645.00,0.07,36.72,15.28,灰白色,无,无,不透明,无,5,25,16,5,0,0,0,0,52,55,2,0,155,0,0,0,212,263,/,0,0,0,0.72,-10.85,,0.97,,氯化镁,0.9984,6.035,,,,,,,,,,,,,,,
847,SY101,MK组,2019-01-06 00:00:00,2019-01-08 00:00:00,分离器,4596.00-4645.00,0.07,36.71,15.29,灰白色,无,无,不透明,无,5,12,22,11,1,0,0,0,52,64,6,0,197,0,6,1,274,326,/,0,0,0,0.29,-10.39,,1.34,,氯化钙,0.9983,6.181,,,,,,,,,,,,,,,
848,SY101,MK组,2019-01-09 00:00:00,2019-01-10 00:00:00,分离器,4596.00-4645.00,0.07,36.62,15.33,白色,无,无,不透明,无,5,3,20,9,0,0,0,0,37,47,6,0,103,0,6,1,162,199,/,0,0,0,0.1,-9.92,,1.55,,氯化钙,0.9983,5.892,,,,,,,,,,,,,,,
849,SY101,MK组,2019-01-13 00:00:00,2019-01-15 00:00:00,分离器,4596.00-4645.00,0.07,36.49,15.39,无,无,无,透明,无,4,12,28,16,2,0,0,0,61,84,8,0,58,0,1,1,151,212,/,0,1,0,0.21,-11.7,,1.38,,氯化钙,0.9984,6.188,,,,,,,,,,,,,,,
850,SY101,MK组,2019-01-16 00:00:00,2019-01-18 00:00:00,分离器,4596.00-4645.00,0.07,36.45,15.45,无,无,无,透明,无,3,4,28,18,0,0,0,0,53,92,3,0,62,0,2,0,159,212,/,0,0,0,0.07,-33.43,,1.64,,氯化钙,0.9984,6.069,,,,,,,,,,,,,,,
851,SY101,MK组,2019-01-20 00:00:00,2019-01-22 00:00:00,分离器,4596.00-4645.00,0.07,36.38,15.48,无,硫化氢,无 ,透明,无,3,3,24,14,0,0,0,0,44,65,6,0,79,0,0,1,150,194,/,0,0,0,0.07,-13.87,,1.4,,氯化钙,0.9984,5.934,,,,,,,,,,,,,,,
852,SY101,MK组,2019-01-23 00:00:00,2019年1月25日,分离器,4596.00-4645.00,7/100,36.35,15.48,灰白色,无,无,不透明,无,10.5688,32.065,90.9196,53.3352,0,0,0,0,186.8886,252.8993,3.914,0,93,0,0.7885,0,350.6018,537.4904,/,0,0,0,0.195696984668533,-70.2682903490571,,1.28915841895319,,氯化钙,0.9987,5.96,,,,,,,,,,,,,,,
853,SY101,MK组,2019-01-27 00:00:00,2019年1月29日,分离器,4596.00-4645.00,7/100,35.58,15.49,灰白色,硫化氢,咸味,半透明,无,16.2269,109.3861,222.2699,139.8212,6.7644,0,0,0,494.7671,885.722,14.3188,0,89,0,2.0086,2.42,993.4694,1488.2365,/,0,0,0,0.190618577150962,-67.6950518813981,,1.73312757450115,,氯化钙,0.9994,5.945,,,,,,,,,,,,,,,
854,SY101,MK组,2019-01-30 00:00:00,2019-02-02 00:00:00,分离器,4596.00-4645.00,0.07,36.09,15.51,无,硫化氢,微咸,透明,无,14,94,217,147,3,0,0,0,475,738,8,0,107,0,2,1,856,1331,/,0,0,0,0.2,-99.29,,1.36,,氯化钙,0.9993,5.95,,,,,,,,,,,,,,,
855,SY101,MK组,2019-02-03 00:00:00,2019-02-12 00:00:00,分离器,4596.00-4645.00,0.07,36.16,15.58,灰色,硫化氢,咸味,透明,无,18,122,288,199,3,0,0,0,631,838,7,0,71,0,2,1,919,1550,/,0,0,0,0.23,-118.08,,1.1,,氯化钙,0.9996,5.981,,,,,,,,,,,,,,,
856,SY101,MK组,2019-02-06 00:00:00,2019-02-12 00:00:00,分离器,4596.00-4645.00,0.07,36.08,15.59,灰白色,硫化氢,咸味,透明,无,16,108,268,183,3,0,0,0,578,864,13,0,71,0,2,1,951,1529,/,0,0,0,0.19,-72.45,,1.29,,氯化钙,0.9996,5.578,,,,,,,,,,,,,,,
857,SY101,MK组,2019-02-10 00:00:00,2019-02-12 00:00:00,分离器,4596.00-4645.00,0.07,36.02,15.55,灰白色,硫化氢,微咸,半透明,无,19,154,295,205,4,0,0,0,679,698,7,0,66,0,1,1,773,1452,/,0,0,0,0.34,-84.2,,0.76,,氯化镁,0.9996,5.41,,,,,,,,,,,,,,,
858,SY101,MK组,2019-02-13 00:00:00,2019-02-18 00:00:00,分离器,4596.00-4645.00,0.07,35.99,15.56,无,硫化氢,微咸,透明,无,18,117,309,217,3,0,0,0,665,847,9,0,66,0,3,1,926,1590,/,0,3,0,0.21,-96.37,,1.04,,氯化钙,0.9942,5.882,,,,,,,,,,,,,,,
859,SY101,MK组,2019-02-17 00:00:00,2019-02-19 00:00:00,分离器,4596.00-4645.00,0.07,35.87,15.56,灰色,硫化氢,咸味,不透明,无,17,117,298,197,5,1,0,0,635,911,10,0,142,0,6,2,1070,1705,/,0,0,0,0.2,-100.18,,1.25,,氯化钙,0.9998,5.807,,,,,,,,,,,,,,,
860,SY101,MK组,2019-02-20 00:00:00,2019-02-21 00:00:00,分离器,4596.00-4645.00,0.07,35.94,15.55,灰色,硫化氢,咸味,半透明,无,19,123,318,224,2,0,0,0,687,805,7,0,137,0,6,1,955,1642,/,0,0,0,0.24,-120.27,,0.93,,氯化镁,0.997,5.845,,,,,,,,,,,,,,,
861,SY101,MK组,2019-02-24 00:00:00,2019-02-27 00:00:00,分离器,4596.00-4645.00,0.07,35.88,15.56,无,硫化氢,咸味,透明,无,18,120,317,221,3,1,0,0,679,900,11,0,102,0,6,1,1021,1701,/,0,3,0,0.21,-85.45,,1.09,,氯化钙,0.9997,6.033,,,,,,,,,,,,,,,
862,SY101,MK组,2019-02-27 00:00:00,2019-03-01 00:00:00,分离器,4596.00-4645.00,0.07,35.84,15.55,灰色,硫化氢,咸味,半透明,无,24,131,349,228,8,2,0,0,742,914,11,0,137,0,5,2,1069,1811,/,0,3,0,0.22,-86.95,,1.05,,氯化钙,0.9999,6.054,,,,,,,,,,,,,,,
863,SY101,MK组,2019-03-03 00:00:00,2019-03-06 00:00:00,分离器,4596.00-4645.00,0.07,35.79,15.55,灰黑色,硫化氢,咸味,不透明,无,17,126,400,258,7,0,0,0,807,956,18,0,182,0,5,5,1165,1972,/,0,0,0,0.2,-58.14,,1,,氯化钙,1.0002,6.043,,,,,,,,,,,,,,,
864,SY101,MK组,2019-03-06 00:00:00,2019-03-07 00:00:00,分离器,4596.00-4645.00,0.07,35.76,15.57,绿色,硫化氢,微咸, 不透明,无,14,108,360,224,0,0,0,0,706,868,10,0,120,0,6,3,1006,1712,/,0,10,0,0.19,-99.53,,1.06,,氯化钙,1.0001,5.939,,,,,,,,,,,,,,,
865,SY101,MK组,2019-03-10 00:00:00,2019-03-12 00:00:00,分离器,4596.00-4645.00,/,/,/,无,硫化氢,咸味,透明,无,21,127,389,251,10,0,0,0,798,1192,40,0,120,0,8,10,1370,2167,/,0,14,0,0.16,-33.95,,1.34,,氯化钙,1.0003,5.956,,,,,,,,,,,,,,,
